mpids,formula,bg_mp,bg_exp,num_elements,source,category,num_categories,cluster,is_ood
mp-27962,CI4,1.1181,2.26,2,BandgapDatabase1,Halides,1,4,True
mp-29044,Cd4Sb2I3,1.130599999999999,1.81,3,BandgapDatabase1,Antimonides,2,4,True
mp-570437,CdI2,2.3382,3.2,2,BandgapDatabase1,Halides,1,4,True
mp-669458,Cs3Bi2I9,2.3796,2.0,3,BandgapDatabase1,Halides,1,4,True
mp-27922,GeI2,2.0217,1.5,2,BandgapDatabase1,Halides,1,4,True
mp-1120792,K3Bi2I9,2.5425,2.1,3,BandgapDatabase1,Halides,1,4,True
mp-1209693,Rb3Sb2I9,1.9237,2.1,3,BandgapDatabase1,Antimonides,2,4,True
mp-28051,SbTeI,0.8429000000000001,1.53,3,BandgapDatabase1,Antimonides,3,4,True
mp-1219046,Sn2SbS2I3,1.065799999999999,1.5,4,BandgapDatabase1,Antimonides,3,4,True
mp-27194,SnI2,1.7061000000000002,2.4,2,BandgapDatabase1,Halides,1,4,True
mp-23182,SnI4,2.0581,2.38,2,BandgapDatabase1,Halides,1,4,True
mp-569766,TeI,0.7871,1.1,2,BandgapDatabase1,Halides,2,4,True
mp-27161,ZnI2,2.9118,3.28,2,BandgapDatabase1,Halides,1,4,True
mp-22859,Hg2I2,1.8859,3.0,2,DS2,Halides,1,4,True
mp-28070,Rb2TeI6,1.749,1.43,3,DS2,Halides,2,4,True
mp-23218,AsI3,2.2375,2.415,2,BandgapDatabase1,Arsenides,2,4,True
mp-22849,BiI3,2.5349,1.8,2,BandgapDatabase1,Halides,1,4,True
mp-23192,HgI2,1.3324,2.15,2,BandgapDatabase1,Halides,1,4,True
mp-540574,Cs2Hg3I8,1.731399999999999,2.56,3,BandgapDatabase1,Halides,1,4,True
mp-540957,Cs2TeI6,1.3877000000000002,1.47,3,BandgapDatabase1,Halides,2,4,True
mp-23029,Cs3Sb2I9,1.8829999999999991,2.0,3,BandgapDatabase1,Antimonides,2,4,True
mp-28377,CsGeI3,0.9905,1.6,3,BandgapDatabase1,Halides,1,4,True
mp-27688,K2TeI6,1.7449,1.38,3,BandgapDatabase1,Halides,2,4,True
mp-31077,Tl2TeI6,1.684399999999999,1.5,3,BandgapDatabase1,Halides,2,4,True
mp-570339,Tl4CdI6,2.1721,2.815,3,BandgapDatabase1,Halides,1,4,True
mp-23485,Ag2HgI4,1.2219,2.47,3,Matbench_expt,Halides,1,4,True
mp-568545,Cd4P2I3,1.377799999999999,2.17,3,Matbench_expt,Halides,2,4,True
mp-1103709,Rb2Cd(IBr)2,3.171,3.35,4,Matbench_expt,Halides,1,4,True
mp-578882,SbPb2S2I3,1.9425,2.0,4,Matbench_expt,Antimonides,3,4,True
mp-570884,TeI4,1.8562999999999992,1.1,2,Matbench_expt,Halides,2,4,True
mp-35909,AgBiI4,1.0457,1.77,3,BandgapDatabase1,Halides,1,4,True
mp-580941,AgI,1.3759,2.775,2,BandgapDatabase1,Halides,1,4,True
mp-22965,BiTeI,1.2325,0.5449999999999999,3,BandgapDatabase1,Halides,2,4,True
mp-1213805,CrI3,1.159,1.05,2,BandgapDatabase1,Halides,1,4,True
mp-1113264,Cs2AgBiI6,0.8526,1.75,4,BandgapDatabase1,Halides,1,4,True
mp-28421,Cs2HgI4,2.0411,2.34,3,BandgapDatabase1,Halides,1,4,True
mp-1112659,Cs2NaBiI6,2.107399999999999,1.66,4,BandgapDatabase1,Halides,1,4,True
mp-29806,Cs2PdI6,0.6286,1.4,3,BandgapDatabase1,Halides,1,4,True
mp-1206662,Cs2TiI6,0.8643000000000001,1.04,3,BandgapDatabase1,Halides,1,4,True
mp-1112501,Cs2TlBiI6,1.3773,1.37,4,BandgapDatabase1,Halides,1,4,True
mp-1238804,Cs4PbI6,3.4095,3.44,3,BandgapDatabase1,Halides,1,4,True
mp-29751,CsMgI3,3.1519999999999992,1.7,3,BandgapDatabase1,Halides,1,4,True
mp-2646981,CsPbI2Br,1.4384,1.91,4,BandgapDatabase1,Halides,1,4,True
mp-540839,CsPbI3,2.5181,1.73,3,BandgapDatabase1,Halides,1,4,True
mp-27381,CsSnI3,2.0632,1.3,3,BandgapDatabase1,Halides,1,4,True
mp-570081,CuI,1.6471,3.0,2,BandgapDatabase1,Halides,1,4,True
mp-29234,InTeI,1.7076,2.735,3,BandgapDatabase1,Halides,2,4,True
mp-28013,MnI2,1.170799999999999,4.220000000000001,2,BandgapDatabase1,Halides,1,4,True
mp-567503,PbI2,2.4455,2.32,2,BandgapDatabase1,Halides,1,4,True
mp-29895,Rb3Bi2I9,2.4754,2.1,3,BandgapDatabase1,Halides,1,4,True
mp-23281,SbI3,2.1446,2.3550000000000004,2,BandgapDatabase1,Antimonides,2,4,True
mp-23380,Tl3PbI5,2.6616,2.4850000000000003,3,BandgapDatabase1,Halides,1,4,True
mp-28517,Tl6SeI4,1.6854,1.86,3,BandgapDatabase1,Halides,2,4,True
mp-27552,TlPbI3,2.1427,1.33,3,BandgapDatabase1,Halides,1,4,True
mp-1069538,CsPbI3,2.8567,1.77,3,DS2,Halides,1,4,True
mp-22925,AgI,1.7236,2.22,2,DS2,Halides,1,4,True
mp-567259,CdI2,2.4036,3.4729,2,DS2,Halides,1,4,True
mp-28453,Cs2Au2I6,0.9509000000000001,1.31,3,DS2,Halides,1,4,True
mp-624214,Cs3Bi2I9,2.3446,1.8,3,DS2,Halides,1,4,True
mp-568570,CsSnI3,0.6097,1.31,3,DS2,Halides,1,4,True
mp-22895,CuI,1.1763,3.118,2,DS2,Halides,1,4,True
mp-22893,PbI2,2.3703,2.2800000000000002,2,DS2,Halides,1,4,True
mp-569224,SbI3,2.2167,2.41,2,DS2,Antimonides,2,4,True
mp-561134,Sn2SbS2I3,0.8162,1.5,4,DS2,Antimonides,3,4,True
mp-23197,TlI,2.2503,2.1,2,DS2,Halides,1,4,True
mp-22858,TlI,2.3198,2.867,2,DS2,Halides,1,4,True
